iter	RMSE
0	0.3804404744
1	0.3561618984
2	0.3363903342
3	0.3153019774
4	0.2970809501
5	0.2806549726
6	0.2662873501
7	0.2527690369
8	0.2414427512
9	0.2306270367
10	0.2207429034
11	0.2120246929
12	0.2038937186
13	0.1963632607
14	0.1894377486
15	0.1821882121
16	0.1762558758
17	0.1712493514
18	0.1663390339
19	0.1617081304
20	0.1580478663
21	0.1542266776
22	0.1512894245
23	0.1482128535
24	0.1454090812
25	0.1423060782
26	0.1396808266
27	0.1371770453
28	0.1346246852
29	0.1319791105
30	0.1295916838
31	0.1271752582
32	0.1257450418
33	0.1240954146
34	0.1220291975
35	0.1207272659
36	0.1192525756
37	0.1175739853
38	0.1159132404
39	0.1143800852
40	0.1130023904
41	0.1119059701
42	0.1108103956
43	0.1092888415
44	0.1084479497
45	0.1074904067
46	0.1065829457
47	0.1057564107
48	0.1045062628
49	0.1035631888
50	0.1029425633
51	0.1020588812
52	0.1013683538
53	0.1007177265
54	0.09965261049
55	0.09911505915
56	0.09844499569
57	0.09758420238
58	0.0973137324
59	0.09652520417
60	0.09585471726
61	0.09556578812
62	0.0949003139
63	0.09423995905
64	0.09389150242
65	0.0933502249
66	0.09284149522
67	0.09216893228
68	0.0914637143
69	0.09105109394
70	0.09087258482
71	0.09021101035
72	0.08969721097
73	0.08879102779
74	0.08826703391
75	0.08783616801
76	0.08766890212
77	0.08741878625
78	0.08673792017
79	0.08623606422
80	0.08566698831
81	0.08494373996
82	0.08441680287
83	0.08410668883
84	0.08397972365
85	0.08329953943
86	0.08263895416
87	0.08210328929
88	0.08143735241
89	0.08133278569
90	0.08118164871
91	0.08103349624
92	0.08049920721
93	0.08036158674
94	0.07992794882
95	0.07946048056
96	0.07895987597
97	0.07845974514
98	0.07837206772
99	0.07807882202
100	0.07764524185
101	0.07712054944
102	0.07687168722
103	0.07642109746
104	0.07599559443
105	0.07564374209
106	0.07522877619
107	0.07468572988
108	0.07417428069
109	0.07363655865
110	0.07343687488
111	0.07335047348
112	0.07304950365
113	0.07256856433
114	0.07239644049
115	0.07208987453
116	0.07150322365
117	0.07105732934
118	0.0704770328
119	0.07003943126
120	0.06975567213
121	0.069617197
122	0.06948030633
123	0.06903409531
124	0.0687722852
125	0.06838566267
126	0.0679048411
127	0.06753887567
128	0.06698599851
129	0.06659564036
130	0.06635088698
131	0.06607919819
132	0.06556658346
133	0.06548548426
134	0.06513137378
135	0.0647990455
136	0.06474760829
137	0.06453212229
138	0.06417980541
139	0.06383198499
140	0.0637943235
141	0.06355738075
142	0.06351134556
143	0.06331575005
144	0.06300507561
145	0.06267850741
146	0.06246841721
147	0.06226272194
148	0.06190728591
149	0.06159618891
150	0.06148025354
151	0.06138594782
152	0.06109813153
153	0.06078504572
154	0.06029663987
155	0.06016555614
156	0.05976072098
157	0.05943050156
158	0.05917390649
159	0.05890189277
160	0.0587292149
161	0.0583560394
162	0.05807994933
163	0.05764763561
164	0.05733002926
165	0.05705527256
166	0.05665808562
167	0.05654879741
168	0.05631318716
169	0.05617530687
170	0.05592615164
171	0.05565529105
172	0.05552837909
173	0.05524463674
174	0.05492393661
175	0.05472282597
176	0.05463656511
177	0.05436607908
178	0.0541167676
179	0.05405233604
180	0.05366730926
181	0.05341689004
182	0.05333822131
183	0.05298484384
184	0.05278403637
185	0.05249149076
186	0.05215291294
187	0.0518379598
188	0.05156341763
189	0.05136505682
190	0.0511063302
191	0.05090164687
192	0.05069809289
193	0.0504967146
194	0.0501857125
195	0.04992313549
196	0.04974998934
197	0.04963367337
198	0.04942125864
199	0.04919202721
200	0.04899532969
201	0.04868918004
202	0.04865884887
203	0.04847683652
204	0.04828453486
205	0.04825437486
206	0.04814700605
207	0.04796474471
208	0.04774595362
209	0.04754249279
210	0.04720344478
211	0.04703644619
212	0.046805847
213	0.0465101405
214	0.04617137507
215	0.0458879836
216	0.04575374911
217	0.04572697728
218	0.04556041505
219	0.04527000018
220	0.04524701637
221	0.04508084831
222	0.04500903783
223	0.04490147725
224	0.04475137335
225	0.04458361333
226	0.0443617156
227	0.04415031208
228	0.04397076316
229	0.0438296582
230	0.04352224183
231	0.04349928689
232	0.04327601522
233	0.04325784993
234	0.04324056125
235	0.04321431208
236	0.04303822316
237	0.04293045504
238	0.04278706579
239	0.04252232829
240	0.04235889592
241	0.04233939771
242	0.04222041838
243	0.04196417348
244	0.04184227066
245	0.04164945463
246	0.04149536686
247	0.04128534974
248	0.04101703328
249	0.04077722549
